t,Demand
1610,30583.24
1611,30171.93
1612,30166.84
1613,30809.90
1614,32605.90
1615,35212.42
1616,36390.91
1617,37077.61
1618,37582.00
1619,37981.45
1620,38357.78
1621,38514.23
1622,38632.84
1623,38605.53
1624,38544.18
1625,38359.93
1626,38406.01
1627,39289.69
1628,40053.06
1629,39207.99
1630,37618.70
1631,35583.88
1632,33327.15
1633,31694.74
1634,30747.50
1635,30277.22
1636,30127.62
1637,30610.06
1638,32138.60
1639,34755.80
1640,36123.52
1641,37026.55
1642,37817.47
1643,38523.33
1644,39122.72
1645,39552.83
1646,39847.12
1647,40021.58
1648,40159.05
1649,40248.29
1650,40344.98
1651,40861.23
1652,41185.45
1653,40434.75
1654,39122.38
1655,37123.78
1656,34827.70
1657,33007.78
1658,31790.47
1659,31092.89
1660,30796.73
1661,31139.53
1662,32449.04
1663,34830.30
1664,36183.72
1665,37286.27
1666,38366.98
1667,39306.42
1668,40165.43
1669,40693.47
1670,41170.11
1671,41384.71
1672,41347.78
1673,41291.33
1674,41158.43
1675,41557.50
1676,41956.94
1677,41107.51
1678,39773.74
1679,37753.63
1680,35578.66
1681,33662.09
1682,32354.04
1683,31559.79
1684,31174.97
1685,31429.18
1686,32760.85
1687,35213.81
1688,36634.93
1689,37980.53
1690,39406.97
1691,40656.32
1692,41815.77
1693,42796.32
1694,43517.06
1695,43779.96
1696,43829.02
1697,43528.02
1698,42820.68
1699,42424.34
1700,42385.14
1701,41266.78
1702,39920.38
1703,38110.31
1704,36103.69
1705,34086.63
1706,32650.86
1707,31736.93
1708,31112.00
1709,30924.94
1710,31265.22
1711,32057.49
1712,33093.55
1713,35157.59
1714,37019.61
1715,38509.29
1716,39577.10
1717,40234.19
1718,40588.04
1719,40692.38
1720,40661.43
1721,40367.66
1722,39853.31
1723,39770.26
1724,40140.93
1725,39306.06
1726,38199.56
1727,36730.76
1728,35068.09
1729,33483.79
1730,32296.90
1731,31390.58
1732,30899.06
1733,30635.24
1734,30803.82
1735,31394.90
1736,32345.95
1737,34043.21
1738,35622.90
1739,36383.55
1740,36658.50
1741,36355.49
1742,35908.72
1743,35761.07
1744,35891.53
1745,36306.49
1746,36551.04
1747,36549.57
1748,37163.65
1749,36679.62
1750,35252.55
1751,33341.75
1752,31758.81
1753,30741.70
1754,30239.43
1755,30132.42
1756,30609.32
1757,32169.02
1758,34686.81
1759,36695.52
1760,37331.77
1761,37425.94
1762,37602.58
1763,37619.78
1764,37793.40
1765,38247.02
1766,38902.78
1767,39687.52
1768,40577.63
1769,40974.28
1770,40833.99
1771,40663.32
1772,41013.36
1773,39759.23
1774,37709.63
1775,35352.47
1776,33310.30
1777,32050.91
1778,31225.35
1779,30911.72
1780,31252.74
1781,32486.07
1782,34725.51
1783,36356.49
1784,36841.58
1785,37617.49
1786,38473.27
1787,39280.12
1788,40032.62
1789,40907.93
1790,41946.72
1791,42969.89
1792,43447.22
1793,43408.27
1794,43093.04
1795,42816.31
1796,43477.36
1797,42519.57
1798,40379.46
1799,37830.35
1800,35760.89
1801,34349.36
1802,33386.72
1803,33093.78
1804,33196.03
1805,33800.97
1806,35417.20
1807,36752.63
1808,37284.38
1809,38144.90
1810,38720.82
1811,38892.47
1812,38862.11
1813,39276.87
1814,39828.98
1815,40205.51
1816,40505.64
1817,40494.95
1818,39870.16
1819,39362.38
1820,39898.75
1821,38866.63
1822,37017.56
1823,34976.33
1824,33322.03
1825,32300.10
1826,31824.06
1827,31778.74
1828,32368.98
1829,34186.56
1830,37063.11
1831,39514.79
1832,40277.33
1833,40295.99
1834,39992.62
1835,39442.28
1836,38683.76
1837,38109.90
1838,37563.40
1839,37292.80
1840,37247.95
1841,37284.60
1842,37131.61
1843,37573.84
1844,38781.32
1845,38157.16
1846,36695.12
1847,34870.57
1848,33390.10
1849,32641.80
1850,32343.13
1851,32550.79
1852,33424.66
1853,35332.85
1854,38206.57
1855,40453.11
1856,40914.94
1857,40433.04
1858,39693.41
1859,38838.60
1860,37923.46
1861,37330.60
1862,36915.14
1863,36601.89
1864,36638.39
1865,36656.91
1866,36440.74
1867,36729.82
1868,37642.78
1869,37128.73
1870,36009.55
1871,34634.42
